epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.9372,5.67595,6.96779,4.27329,0,0,0,0,6.07141,8.90368,2.75498,0.0964,0.0004,0.0004
2,39.2147,6.01205,6.33301,4.17315,0,0,0,0,6.0458,8.72252,2.73319,0.0918955,0.000895545,0.000895545
3,55.477,5.95647,5.5705,4.1368,0,0,0,0,6.01161,8.6048,2.7049,0.0873861,0.00138614,0.00138614
4,72.1472,5.66213,5.2388,4.10171,0,0,0,0,5.99141,8.56241,2.68892,0.0828718,0.00187178,0.00187178
5,90.6054,5.96517,5.40153,4.04825,0,0,0,0,5.96799,8.529,2.67153,0.0783525,0.00235248,0.00235248
6,106.029,5.79686,5.1667,4.06371,0,0,0,0,5.95341,8.51199,2.66097,0.0738282,0.00282822,0.00282822
7,124.646,5.80468,5.08511,4.0432,0,0,0,0,5.9308,8.4916,2.6451,0.069299,0.00329902,0.00329902
8,141.629,5.74813,4.96793,3.97312,0,0,0,0,5.91625,8.47906,2.63511,0.0647649,0.00376486,0.00376486
9,158.521,5.51116,4.81289,3.92636,0,0,0,0,5.89909,8.46514,2.62359,0.0602258,0.00422576,0.00422576
10,176.128,5.39733,4.64791,3.95911,0,0,0,0,5.88735,8.45336,2.6158,0.0556817,0.0046817,0.0046817
11,197.047,5.5198,4.66297,3.87146,0,0,0,0,5.87071,8.43386,2.60501,0.0511327,0.0051327,0.0051327
12,216.51,5.34137,4.70547,3.78651,0,0,0,0,5.85859,8.42189,2.59732,0.0465787,0.00557875,0.00557875
13,235.824,5.2741,4.52313,3.67983,0,0,0,0,5.85321,8.41661,2.59395,0.0420198,0.00601984,0.00601984
14,254.199,5.22132,4.48065,3.73633,0,0,0,0,5.84579,8.41016,2.58928,0.037456,0.00645599,0.00645599
15,272.276,4.98709,4.42632,3.60288,0,0,0,0,5.84119,8.40699,2.58579,0.0328872,0.00688718,0.00688718
16,288.817,4.6898,4.26359,3.37993,0,0,0,0,5.84179,8.40827,2.5857,0.0283134,0.00731343,0.00731343
17,304.866,4.34563,4.13932,3.29427,0,0,0,0,5.84632,8.41751,2.5873,0.0237347,0.00773472,0.00773472
18,321.06,3.81494,3.93572,3.10733,0,0,0,0,5.85447,8.43161,2.5913,0.0191511,0.00815106,0.00815106
19,338.735,3.47773,3.12484,3.06099,0,0,0,0,5.87063,8.45258,2.60012,0.0145625,0.00856246,0.00856246
20,356.504,3.09403,2.56747,2.82961,0,0,0,0,5.90178,8.49494,2.62288,0.00996891,0.0089689,0.0089689
21,372.908,2.90215,2.59254,2.52059,0,0,0,0,5.90742,8.51967,2.62866,0.00901,0.00901,0.00901
22,392.074,2.67113,2.76288,2.24065,0,0,0,0,5.73633,8.49819,2.55284,0.0089605,0.0089605,0.0089605
23,410.139,2.77136,2.63657,2.43202,0,0,0,0,5.80892,8.51473,2.57879,0.008911,0.008911,0.008911
24,430.034,2.4963,2.0654,2.32884,0.0112,0.15556,0.05221,0.01671,4.51209,7.70122,2.15494,0.0088615,0.0088615,0.0088615
25,449.654,2.44523,2.47291,2.2123,0.37078,0.04444,0.0421,0.01631,5.12016,7.78808,2.35289,0.008812,0.008812,0.008812
26,473.013,2.22243,2.3261,1.99405,0.01104,0.15556,0.05635,0.01462,4.60264,7.81181,2.20722,0.0087625,0.0087625,0.0087625
27,496.894,2.22976,2.07243,1.94378,0.24616,0.06667,0.06852,0.02576,4.39438,7.10216,2.12587,0.008713,0.008713,0.008713
28,523.787,2.25496,1.99661,2.01998,0.2367,0.15556,0.06922,0.02417,3.62978,5.84083,1.86,0.0086635,0.0086635,0.0086635
29,550.552,2.79483,2.70712,2.2196,0.21321,0.13333,0.08424,0.02955,3.10668,5.33717,1.71391,0.008614,0.008614,0.008614
30,573.11,2.11682,1.99291,1.92553,0.02945,0.55556,0.15316,0.04374,2.42326,5.74266,1.53224,0.0085645,0.0085645,0.0085645
31,599.263,2.12668,1.74285,1.90203,0.22199,0.31111,0.15478,0.05071,2.29144,4.18072,1.39986,0.008515,0.008515,0.008515
32,625.411,2.18233,1.91413,1.82123,0.23033,0.31111,0.12717,0.04628,2.25884,4.17763,1.37605,0.0084655,0.0084655,0.0084655
33,650.746,1.97363,1.68688,1.79097,0.31299,0.31111,0.20105,0.07044,1.99873,4.31475,1.21529,0.008416,0.008416,0.008416
34,679.319,2.00108,1.8078,1.75047,0.19866,0.37778,0.14052,0.04834,2.14353,3.87985,1.31138,0.0083665,0.0083665,0.0083665
35,705.822,1.86063,1.55963,1.71706,0.16186,0.15556,0.06226,0.01559,1.99403,3.3006,1.21528,0.008317,0.008317,0.008317
36,734.516,2.04554,1.56987,1.85094,0.31935,0.08889,0.05373,0.01345,1.92503,3.29513,1.20594,0.0082675,0.0082675,0.0082675
37,763.067,1.92253,1.58879,1.68079,0.20283,0.11111,0.05749,0.015,2.06008,8.22743,1.2957,0.008218,0.008218,0.008218
38,786.284,1.81526,1.63088,1.64242,0.2001,0.06667,0.02932,0.00687,3.3618,10.2782,2.42362,0.0081685,0.0081685,0.0081685
39,810.882,1.66223,1.50835,1.62989,0.19595,0.11111,0.0516,0.01226,2.38089,11.7474,1.50629,0.008119,0.008119,0.008119
40,842.333,1.66899,1.4165,1.51834,0.27358,0.08889,0.03077,0.0081,1.73929,3.79925,1.17351,0.0080695,0.0080695,0.0080695
41,872.228,1.84324,1.34504,1.65637,0.36895,0.08889,0.04479,0.01142,2.68952,8.19675,1.76466,0.00802,0.00802,0.00802
42,899.209,1.69075,1.32368,1.58729,0.19891,0.06667,0.03073,0.00677,3.50211,94.7047,2.60925,0.0079705,0.0079705,0.0079705
43,927.64,1.74089,1.21993,1.51547,0.33286,0.08889,0.0429,0.01078,2.75871,7.49511,1.75361,0.007921,0.007921,0.007921
44,961.249,1.72264,1.39848,1.54908,0.27083,0.11111,0.03826,0.00875,2.75354,4.78924,1.6525,0.0078715,0.0078715,0.0078715
45,985.632,1.88302,1.25204,1.63553,0.4553,0.08889,0.04999,0.00926,3.43284,31.1251,2.52574,0.007822,0.007822,0.007822
46,1013.55,1.70021,1.18726,1.56002,0.23578,0.08889,0.03069,0.00602,3.66292,38.8463,3.07908,0.0077725,0.0077725,0.0077725
47,1047.64,1.76354,1.19257,1.56812,0.43537,0.08889,0.04635,0.01631,2.09829,4.84755,1.29446,0.007723,0.007723,0.007723
48,1080.37,1.79082,1.21154,1.59612,0.32729,0.08889,0.05921,0.01597,1.59354,4.27311,1.03074,0.0076735,0.0076735,0.0076735
49,1112.32,1.7458,1.35845,1.58008,0.34222,0.08889,0.03796,0.01289,1.47103,2.3327,0.97462,0.007624,0.007624,0.007624
50,1144.46,1.5573,1.21343,1.53088,0.26122,0.08889,0.03255,0.01144,1.39408,5.3929,0.95078,0.0075745,0.0075745,0.0075745
51,1176.96,1.59672,1.09828,1.40855,0.38673,0.08889,0.03959,0.01748,1.55651,2.52041,0.99798,0.007525,0.007525,0.007525
52,1207,1.63821,1.12177,1.46679,0.44552,0.08889,0.04911,0.02045,1.46692,2.39471,0.97436,0.0074755,0.0074755,0.0074755
53,1241.36,1.55962,1.0808,1.41122,0.36349,0.08889,0.04201,0.0157,1.40311,2.90741,0.92499,0.007426,0.007426,0.007426
54,1270.25,1.54201,1.04192,1.47402,0.32222,0.08889,0.03223,0.01403,1.45093,2.02874,0.94056,0.0073765,0.0073765,0.0073765
55,1302.11,1.493,0.99696,1.38644,0.49064,0.31111,0.1849,0.1044,1.33387,2.34545,0.89116,0.007327,0.007327,0.007327
56,1334.38,1.73716,1.45552,1.5239,0.48275,0.35266,0.23198,0.1011,1.63519,2.31529,1.01909,0.0072775,0.0072775,0.0072775
57,1368.29,1.46551,0.94653,1.35828,0.3679,0.35556,0.20225,0.09135,2.08882,2.71512,1.1604,0.007228,0.007228,0.007228
58,1393.29,1.52033,0.98527,1.39691,0.39489,0.44444,0.25162,0.11386,1.72481,2.40317,1.03813,0.0071785,0.0071785,0.0071785
59,1424.06,1.48015,0.9574,1.41479,0.35309,0.35556,0.20189,0.10005,1.94347,2.45209,1.11439,0.007129,0.007129,0.007129
60,1449.54,1.50788,0.9714,1.37046,0.36285,0.42222,0.22286,0.10156,2.01139,2.52534,1.13373,0.0070795,0.0070795,0.0070795
61,1482.45,1.44862,1.00513,1.45443,0.36584,0.42222,0.20225,0.09082,2.11696,2.69077,1.17745,0.00703,0.00703,0.00703
62,1511.86,1.45272,1.01085,1.3873,0.38111,0.44444,0.23424,0.09767,1.95192,2.50362,1.11805,0.0069805,0.0069805,0.0069805
63,1544.87,1.41377,0.94703,1.36717,0.35309,0.42222,0.21081,0.08713,2.12716,3.01127,1.17479,0.006931,0.006931,0.006931
64,1581.82,1.48101,0.99364,1.36789,0.34941,0.48889,0.22978,0.11906,1.78539,2.82968,1.06994,0.0068815,0.0068815,0.0068815
65,1609.83,1.37361,0.91363,1.35056,0.48336,0.53333,0.29194,0.15608,1.26931,1.91281,0.87791,0.006832,0.006832,0.006832
66,1638.48,1.46673,0.93603,1.34922,0.46311,0.46667,0.26903,0.14257,1.5518,2.22678,0.95653,0.0067825,0.0067825,0.0067825
67,1671.72,1.38327,0.94364,1.39741,0.46229,0.46667,0.27118,0.14828,1.40723,2.00199,0.92612,0.006733,0.006733,0.006733
68,1698.2,1.29926,0.85764,1.24815,0.4603,0.53072,0.29044,0.17134,1.18777,1.86352,0.83615,0.0066835,0.0066835,0.0066835
69,1731.2,1.40025,0.91983,1.31864,0.44287,0.51111,0.29008,0.15686,1.47843,1.97036,0.91738,0.006634,0.006634,0.006634
70,1771.55,1.22709,0.84437,1.20341,0.47182,0.37778,0.23331,0.13338,1.10541,1.82854,0.79892,0.0065845,0.0065845,0.0065845
71,1805.09,1.60252,1.22961,1.46911,0.42722,0.51111,0.27385,0.15027,1.3451,1.90736,0.8771,0.006535,0.006535,0.006535
72,1835.23,1.45869,1.05336,1.37167,0.4881,0.50859,0.28842,0.16735,1.20146,1.85942,0.81773,0.0064855,0.0064855,0.0064855
73,1865.09,1.23948,0.8324,1.2114,0.45882,0.51111,0.29393,0.18065,1.11216,1.69317,0.78282,0.006436,0.006436,0.006436
74,1891.21,1.35337,0.84714,1.24885,0.48328,0.46667,0.28336,0.17207,1.20741,1.7292,0.80729,0.0063865,0.0063865,0.0063865
75,1926.6,1.26014,0.782,1.21749,0.55785,0.30851,0.22216,0.14853,1.11197,1.69634,0.779,0.006337,0.006337,0.006337
76,1963.58,1.21379,0.83561,1.22203,0.44163,0.51111,0.29308,0.15879,1.4024,1.91442,0.85447,0.0062875,0.0062875,0.0062875
77,1990.27,1.22856,0.81438,1.19507,0.45343,0.51111,0.29892,0.17822,1.17808,1.73356,0.79544,0.006238,0.006238,0.006238
78,2016.08,1.20048,0.83188,1.21791,0.41287,0.43765,0.24092,0.1185,1.58734,2.15222,0.94305,0.0061885,0.0061885,0.0061885
79,2047.07,1.21816,0.84993,1.18331,0.43059,0.48889,0.28517,0.15372,1.35655,1.96688,0.84467,0.006139,0.006139,0.006139
80,2074.96,1.15795,0.76176,1.17955,0.46661,0.46667,0.30314,0.15761,1.32782,1.7784,0.83136,0.0060895,0.0060895,0.0060895
81,2096.72,1.21027,0.77296,1.21705,0.26303,0.08889,0.03233,0.01578,1.31935,1.73496,0.83719,0.00604,0.00604,0.00604
82,2127.21,1.20543,0.77057,1.16868,0.44611,0.53333,0.28825,0.18157,1.0577,1.68144,0.74946,0.0059905,0.0059905,0.0059905
83,2151.78,1.2308,0.83986,1.21296,0.43176,0.53333,0.27581,0.16737,1.1852,1.62509,0.79145,0.005941,0.005941,0.005941
84,2176.08,1.25882,0.89833,1.25827,0.43905,0.5219,0.28064,0.17993,1.06106,1.64005,0.74684,0.0058915,0.0058915,0.0058915
