epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.6639,5.96323,7.66343,4.30663,0,0,0,0,6.22963,9.06567,2.75502,0.0964,0.0004,0.0004
2,32.6875,5.87042,5.7973,4.23737,0,0,0,0,6.19165,8.81383,2.71863,0.0918911,0.00089109,0.00089109
3,46.8663,5.85423,5.38651,4.1856,0,0,0,0,6.14153,8.67096,2.67334,0.0873723,0.00137228,0.00137228
4,60.0264,5.89695,4.96496,4.0786,0,0,0,0,6.10253,8.60712,2.63995,0.0828436,0.00184357,0.00184357
5,72.9635,5.99693,5.08851,4.07217,0,0,0,0,6.053,8.557,2.60101,0.078305,0.00230496,0.00230496
6,85.3701,5.74586,4.77451,4.00687,0,0,0,0,6.01921,8.53221,2.57642,0.0737565,0.00275645,0.00275645
7,98.2184,5.68002,4.61196,3.92295,0,0,0,0,5.96307,8.48616,2.53813,0.069198,0.00319804,0.00319804
8,110.7,5.58512,4.47258,3.84936,0,0,0,0,5.92605,8.45439,2.51345,0.0646297,0.00362973,0.00362973
9,123.514,5.34084,4.2895,3.77785,0,0,0,0,5.87574,8.41543,2.48365,0.0600515,0.00405152,0.00405152
10,137.019,4.82203,4.08106,3.71755,0,0,0,0,5.8433,8.39359,2.46774,0.0554634,0.00446341,0.00446341
11,150.54,4.20017,3.58143,3.64999,0,0,0,0,5.81988,8.38816,2.45548,0.0508654,0.0048654,0.0048654
12,164.09,3.50466,2.90262,3.67678,0,0,0,0,5.81303,8.40559,2.45086,0.0462575,0.00525749,0.00525749
13,176.909,3.34002,2.64467,3.14333,0,0,0,0,5.81277,8.42311,2.45028,0.0416397,0.00563968,0.00563968
14,190.611,3.05121,2.64485,2.89542,0,0,0,0,5.81871,8.46124,2.4528,0.037012,0.00601197,0.00601197
15,204.92,2.90048,2.39688,2.66981,0,0,0,0,5.82801,8.50287,2.45854,0.0323744,0.00637436,0.00637436
16,218.159,2.64136,2.08998,2.41019,0,0,0,0,5.83316,8.52627,2.46207,0.0277268,0.00672685,0.00672685
17,232.133,2.5624,2.2798,2.33583,0,0,0,0,5.84333,8.56898,2.47114,0.0230694,0.00706944,0.00706944
18,245.164,2.4638,2.36667,2.33165,0,0,0,0,5.85126,8.57823,2.47786,0.0184021,0.00740213,0.00740213
19,258.314,2.57822,2.26105,2.14438,0,0,0,0,5.85168,8.60641,2.48021,0.0137249,0.00772492,0.00772492
20,273.266,2.55537,2.0427,2.19974,0,0,0,0,5.85582,8.6406,2.48315,0.00903781,0.00803781,0.00803781
21,288.153,2.37296,1.87011,2.06936,0,0,0,0,5.86128,8.64829,2.4896,0.00802,0.00802,0.00802
22,302.161,2.4143,2.06001,2.09655,0,0,0,0,5.83118,8.66441,2.47503,0.007921,0.007921,0.007921
23,316.417,2.29516,1.88153,1.84049,0,0,0,0,5.7743,8.65394,2.44556,0.007822,0.007822,0.007822
24,331.284,2.23935,1.9964,1.93956,0.00493,0.06667,0.05731,0.02421,5.25966,8.42419,2.25209,0.007723,0.007723,0.007723
25,347.733,2.13618,1.98971,1.76336,0.01379,0.2,0.07762,0.03412,3.79363,7.18782,1.76673,0.007624,0.007624,0.007624
26,364.642,2.12118,1.76569,1.83975,0.01552,0.23333,0.07909,0.03042,3.75158,7.3389,1.77862,0.007525,0.007525,0.007525
27,383.462,1.99855,1.65061,1.73188,0.02869,0.46667,0.12497,0.05281,3.39123,6.4654,1.66477,0.007426,0.007426,0.007426
28,401.51,2.03431,1.59157,1.75194,0.33685,0.06667,0.14806,0.05323,2.93083,5.5056,1.52654,0.007327,0.007327,0.007327
29,421.39,1.99034,1.65216,1.75723,0.27484,0.26667,0.19067,0.06471,2.34498,5.42165,1.31532,0.007228,0.007228,0.007228
30,442.71,1.94978,1.46557,1.68819,0.25191,0.16845,0.14505,0.07094,2.33667,4.59742,1.30728,0.007129,0.007129,0.007129
31,465.603,1.83002,1.34899,1.65447,0.48259,0.3,0.27417,0.13936,1.86402,2.68022,1.12129,0.00703,0.00703,0.00703
32,487.184,1.89959,1.41433,1.64025,0.31026,0.4,0.2259,0.09151,1.83306,2.8547,1.12063,0.006931,0.006931,0.006931
33,508.765,1.90068,1.40886,1.70466,0.25315,0.38434,0.2002,0.10748,1.81677,3.0853,1.09839,0.006832,0.006832,0.006832
